team1,team2,venue,day,hour
Bayer Leverkusen,Besiktas JK,Tottenham Hotspur Stadium,1,8
Everton FC,Olympiacos FC,Stade Vélodrome,1,8
Olympique Lyonnais,FC Spartak Moscow,Stamford Bridge,1,12
Valencia CF,Galatasaray SK,Tottenham Hotspur Stadium,2,8
FC Shakhtar Donetsk,Bayer Leverkusen,Stamford Bridge,3,8
Olympique Lyonnais,Galatasaray SK,Tottenham Hotspur Stadium,4,8
FC Spartak Moscow,Valencia CF,Stamford Bridge,4,11
Olympique Lyonnais,Everton FC,Stade Vélodrome,6,8
West Ham United FC,Galatasaray SK,Tottenham Hotspur Stadium,6,8
Olympiacos FC,Besiktas JK,Stamford Bridge,6,10
FC Spartak Moscow,Bayer Leverkusen,Tottenham Hotspur Stadium,7,8
Valencia CF,West Ham United FC,Stamford Bridge,8,8
Everton FC,FC Shakhtar Donetsk,Stamford Bridge,8,12
Olympique Lyonnais,Olympiacos FC,Stamford Bridge,10,8
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,10,12
West Ham United FC,Bayer Leverkusen,Stade Vélodrome,11,17
Everton FC,Valencia CF,Tottenham Hotspur Stadium,12,10
Olympique Lyonnais,FC Shakhtar Donetsk,Stamford Bridge,12,17
FC Spartak Moscow,West Ham United FC,Stamford Bridge,13,8
Olympiacos FC,West Ham United FC,Stamford Bridge,15,10
FC Shakhtar Donetsk,Valencia CF,Stade Vélodrome,17,8
Galatasaray SK,Besiktas JK,Tottenham Hotspur Stadium,17,8
Olympiacos FC,Bayer Leverkusen,Stamford Bridge,17,10
Olympique Lyonnais,West Ham United FC,Stade Vélodrome,18,8
FC Spartak Moscow,Besiktas JK,Stamford Bridge,18,10
Olympiacos FC,Valencia CF,Tottenham Hotspur Stadium,19,8
FC Shakhtar Donetsk,Galatasaray SK,Stade Vélodrome,19,10
Everton FC,Besiktas JK,Stade Vélodrome,20,8
FC Shakhtar Donetsk,West Ham United FC,Stade Vélodrome,21,8
Olympiacos FC,Galatasaray SK,Stade Vélodrome,22,10
Valencia CF,Bayer Leverkusen,Stamford Bridge,22,11
Everton FC,Galatasaray SK,Stade Vélodrome,24,8
West Ham United FC,Besiktas JK,Stamford Bridge,24,10
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,25,8
Valencia CF,Besiktas JK,Stamford Bridge,26,8
Everton FC,West Ham United FC,Tottenham Hotspur Stadium,26,10
Olympique Lyonnais,Bayer Leverkusen,Stade Vélodrome,26,10
FC Shakhtar Donetsk,Olympiacos FC,Tottenham Hotspur Stadium,27,8
Olympique Lyonnais,Valencia CF,Tottenham Hotspur Stadium,28,8
Everton FC,FC Spartak Moscow,Stamford Bridge,28,10
Galatasaray SK,Bayer Leverkusen,Stamford Bridge,28,12
FC Shakhtar Donetsk,Besiktas JK,Stade Vélodrome,29,8
Everton FC,Bayer Leverkusen,Stamford Bridge,30,10
FC Spartak Moscow,Galatasaray SK,Tottenham Hotspur Stadium,30,12
Olympique Lyonnais,Besiktas JK,Stamford Bridge,30,12
