team1,team2,venue,day,hour
Besiktas JK,Lazio SS,Estadio do Dragão,1,9
Real Madrid CF,FC Spartak Moscow,Estadi Mallorca Son Moix,1,10
Juventus Turin,RB Leipzig,Estadio do Dragão,2,16
Olympiacos FC,Valencia CF,Estadio do Dragão,2,20
Lazio SS,FC Spartak Moscow,Red Bull Arena,4,12
Besiktas JK,Arsenal FC,Estadio do Dragão,4,15
Inter Milan,Valencia CF,Estadio do Dragão,5,10
Real Madrid CF,Juventus Turin,Estadi Mallorca Son Moix,5,17
Lazio SS,RB Leipzig,Red Bull Arena,6,12
Inter Milan,Juventus Turin,Estadio do Dragão,7,8
Olympiacos FC,Real Madrid CF,Red Bull Arena,7,9
Besiktas JK,Valencia CF,Estadio do Dragão,8,10
FC Spartak Moscow,RB Leipzig,Red Bull Arena,8,13
Arsenal FC,Inter Milan,Estadi Mallorca Son Moix,10,13
Lazio SS,Juventus Turin,Estadi Mallorca Son Moix,10,20
Olympiacos FC,Besiktas JK,Red Bull Arena,11,10
Inter Milan,FC Spartak Moscow,Estadi Mallorca Son Moix,12,11
Lazio SS,Real Madrid CF,Estadio do Dragão,12,17
Olympiacos FC,Arsenal FC,Estadio do Dragão,13,14
Juventus Turin,Valencia CF,Estadio do Dragão,13,20
Real Madrid CF,Inter Milan,Estadi Mallorca Son Moix,14,13
Besiktas JK,FC Spartak Moscow,Red Bull Arena,14,16
Besiktas JK,Juventus Turin,Estadi Mallorca Son Moix,16,15
Lazio SS,Valencia CF,Estadi Mallorca Son Moix,16,17
Arsenal FC,Real Madrid CF,Red Bull Arena,17,9
Olympiacos FC,RB Leipzig,Estadi Mallorca Son Moix,17,10
Real Madrid CF,Valencia CF,Red Bull Arena,19,9
Arsenal FC,RB Leipzig,Estadio do Dragão,19,12
Olympiacos FC,Inter Milan,Estadio do Dragão,20,9
Juventus Turin,FC Spartak Moscow,Estadio do Dragão,20,20
Real Madrid CF,RB Leipzig,Estadi Mallorca Son Moix,21,15
Lazio SS,Arsenal FC,Estadio do Dragão,21,20
Olympiacos FC,Juventus Turin,Red Bull Arena,22,20
Lazio SS,Inter Milan,Estadi Mallorca Son Moix,23,8
Arsenal FC,FC Spartak Moscow,Estadi Mallorca Son Moix,23,20
Arsenal FC,Valencia CF,Estadi Mallorca Son Moix,25,19
Besiktas JK,RB Leipzig,Red Bull Arena,25,21
Olympiacos FC,FC Spartak Moscow,Estadio do Dragão,27,9
RB Leipzig,Valencia CF,Estadi Mallorca Son Moix,27,20
Besiktas JK,Inter Milan,Estadi Mallorca Son Moix,28,8
Arsenal FC,Juventus Turin,Estadio do Dragão,28,8
Olympiacos FC,Lazio SS,Red Bull Arena,29,21
FC Spartak Moscow,Valencia CF,Estadi Mallorca Son Moix,29,21
Besiktas JK,Real Madrid CF,Estadi Mallorca Son Moix,30,17
Inter Milan,RB Leipzig,Estadi Mallorca Son Moix,30,19
