team1,team2,venue,day,hour
Arsenal FC,Juventus Turin,Red Bull Arena,1,8
Lazio SS,RB Leipzig,Red Bull Arena,1,14
Olympiacos FC,Besiktas JK,Red Bull Arena,2,15
Real Madrid CF,Valencia CF,Estadi Mallorca Son Moix,2,15
Olympiacos FC,Inter Milan,Red Bull Arena,4,10
Juventus Turin,RB Leipzig,Estadi Mallorca Son Moix,4,15
Besiktas JK,Valencia CF,Red Bull Arena,5,11
Lazio SS,Real Madrid CF,Estadi Mallorca Son Moix,5,18
Olympiacos FC,Juventus Turin,Estadi Mallorca Son Moix,7,13
Inter Milan,Valencia CF,Red Bull Arena,7,14
Arsenal FC,Real Madrid CF,Estadio do Dragão,8,8
FC Spartak Moscow,Valencia CF,Estadi Mallorca Son Moix,9,15
Lazio SS,Inter Milan,Estadio do Dragão,9,16
Olympiacos FC,RB Leipzig,Red Bull Arena,10,8
Besiktas JK,Real Madrid CF,Estadi Mallorca Son Moix,10,14
Arsenal FC,FC Spartak Moscow,Red Bull Arena,11,15
Inter Milan,Juventus Turin,Red Bull Arena,11,17
Besiktas JK,Inter Milan,Estadio do Dragão,13,9
Olympiacos FC,Valencia CF,Estadio do Dragão,13,14
Real Madrid CF,Juventus Turin,Red Bull Arena,14,10
Arsenal FC,RB Leipzig,Estadi Mallorca Son Moix,14,17
Besiktas JK,FC Spartak Moscow,Estadi Mallorca Son Moix,15,11
Olympiacos FC,Arsenal FC,Estadio do Dragão,16,16
Lazio SS,Juventus Turin,Red Bull Arena,16,16
Real Madrid CF,Inter Milan,Red Bull Arena,17,9
FC Spartak Moscow,RB Leipzig,Estadio do Dragão,17,9
Lazio SS,FC Spartak Moscow,Red Bull Arena,19,14
Besiktas JK,Juventus Turin,Estadio do Dragão,19,21
Olympiacos FC,Real Madrid CF,Estadi Mallorca Son Moix,20,10
Inter Milan,RB Leipzig,Estadio do Dragão,20,18
Lazio SS,Valencia CF,Estadi Mallorca Son Moix,21,9
Besiktas JK,Arsenal FC,Estadi Mallorca Son Moix,21,14
Arsenal FC,Inter Milan,Estadi Mallorca Son Moix,23,12
RB Leipzig,Valencia CF,Red Bull Arena,23,21
Besiktas JK,Lazio SS,Estadio do Dragão,24,16
Olympiacos FC,FC Spartak Moscow,Red Bull Arena,24,18
Juventus Turin,FC Spartak Moscow,Estadio do Dragão,26,8
Besiktas JK,RB Leipzig,Estadio do Dragão,26,21
Olympiacos FC,Lazio SS,Estadio do Dragão,27,12
Arsenal FC,Valencia CF,Estadio do Dragão,27,14
Real Madrid CF,FC Spartak Moscow,Red Bull Arena,28,16
Juventus Turin,Valencia CF,Red Bull Arena,29,13
Lazio SS,Arsenal FC,Red Bull Arena,29,20
Real Madrid CF,RB Leipzig,Red Bull Arena,30,8
Inter Milan,FC Spartak Moscow,Estadio do Dragão,30,21
